City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,gorontalo,0.5412,123.0595,87.53,66,97,6.55,ID,1704511952
254,singkil,-7.9855,111.4161,88.66,61,70,1.92,ID,1704511953
255,tirthahalli,13.7,75.2333,74.46,79,75,3.67,IN,1704511953
256,buurhakaba,2.8026,44.0781,72.34,76,96,11.9,SO,1704511879
257,puerto baquerizo moreno,-0.9,-89.6,76.1,82,91,8.77,EC,1704511956
258,manokwari,-0.8667,134.0833,84.94,66,91,4.36,ID,1704511922
259,robertsport,6.7533,-11.3686,80.24,82,41,2.39,LR,1704511957
260,minas de marcona,-15.2119,-75.1103,62.92,86,66,11.27,PE,1704511958
261,aripuana,-9.1667,-60.6333,71.01,100,96,1.14,BR,1704511959
262,tralee,52.2704,-9.7026,41.97,85,19,6.17,IE,1704511959
263,jacksonville,30.3322,-81.6556,65.01,85,75,8.05,US,1704511960
264,zheleznogorsk-ilimskiy,56.5768,104.1217,-11.63,87,100,4.0,RU,1704511961
265,petropavlovsk-kamchatsky,53.0452,158.6483,9.19,80,0,11.99,RU,1704511962
266,chagoda,59.164,35.3285,-11.83,96,100,4.36,RU,1704511962
267,ad dabbah,18.05,30.95,57.88,35,75,7.07,SD,1704511963
268,tanjung sepat,2.6579,101.5629,84.85,83,20,2.3,MY,1704511964
269,tangalle,6.024,80.7911,82.56,78,83,8.95,LK,1704511965
270,whitehorse,60.7161,-135.0538,2.8,81,75,2.3,CA,1704511965
271,itaporanga,-7.3044,-38.1503,78.46,65,73,8.28,BR,1704511966
272,enewetak,11.3474,162.3373,80.46,69,86,16.8,MH,1704511967
273,borogontsy,62.6683,131.1683,-42.32,100,70,1.41,RU,1704511967
274,bethanie,-26.4833,17.15,70.99,30,20,3.58,,1704511968
275,grand-lahou,5.1367,-5.0242,78.66,88,6,5.64,CI,1704511969
276,margate,51.3813,1.3862,42.91,76,100,10.0,GB,1704511969
277,paka,4.6374,103.4368,82.33,83,40,5.75,MY,1704511945
278,stanley,54.868,-1.6985,35.71,96,0,2.3,GB,1704511867
279,bodaybo,57.8506,114.1933,-19.68,97,81,0.6,RU,1704511971
280,murzuq,25.9155,13.9184,56.5,26,0,9.53,LY,1704511972
281,san julian,21.0167,-102.1667,55.09,52,100,9.51,MX,1704511973
282,rongelap,11.1635,166.8941,80.55,70,93,14.23,MH,1704511973
283,mitu,1.1983,-70.1733,74.86,84,100,2.53,CO,1704511974
284,kavieng,-2.5744,150.7967,83.86,74,54,5.19,PG,1704511975
285,kourou,5.1552,-52.6478,80.65,89,92,8.57,GF,1704511975
286,edd,13.9297,41.6925,77.58,62,89,12.46,ER,1704511976
287,nabire,-3.3667,135.4833,85.96,71,44,3.58,ID,1704511976
288,madalena,41.2162,-8.3345,43.47,99,2,2.82,PT,1704511977
289,masterton,-40.9597,175.6575,56.39,86,100,4.47,NZ,1704511978
290,novara,45.5853,8.5778,42.94,94,75,2.3,IT,1704511978
291,palmer,42.1584,-72.3287,31.14,70,75,6.91,US,1704511979
292,fortuna,40.5982,-124.1573,48.34,95,100,0.0,US,1704511979
293,gizo,-8.103,156.8419,82.22,78,100,4.76,SB,1704511980
294,bad neustadt an der saale,50.3333,10.2167,40.17,93,100,3.8,DE,1704511902
295,tot'ma,59.9747,42.7642,-28.39,100,72,2.62,RU,1704511982
